state (Emission order)	H3K27me3	H3K4me3	H3K27ac	H3K4me1
1	0.022362085274917287	0.7595717209768404	0.04914771231331826	0.3809225083768417
2	2.9846663894813924E-4	0.9954622035399145	0.836292678225733	0.9942925478635801
3	4.843090084375223E-134	0.9948018842812034	0.9552421849578799	1.5438002365584982E-26
4	0.002335850402178001	9.521054409970106E-33	0.012152456242787086	0.006752605151657778
5	8.374285119023142E-5	0.0025186372389544662	0.9109314901142369	0.9250384700719749
6	0.01103929829383871	8.250103762617391E-27	0.04832786296316552	0.837740840985134
7	0.002032829568064845	4.287074018210467E-6	9.387371473910982E-5	3.266607246126695E-4
8	0.27874524399733436	1.3999534292915284E-5	9.243197439730695E-5	0.0016719033779654894
