state (from\to) (Emission order)	1	2	3	4	5	6	7	8
1	0.6237799631296987	0.059699364536068826	0.14442322259637136	0.014670208089590964	0.0	0.11194894154258603	0.03749904053708436	0.007979259568599711
2	0.03616538263147143	0.6125979891022879	0.15885269350024697	0.0016978861072414527	0.08302812152229662	0.10739942221373794	2.5850492271768563E-4	0.0
3	0.06672234765498256	0.13058605947143723	0.7980449770746221	0.0010393992018213484	0.0028864793577227004	2.5214571829294835E-4	4.685915211212067E-4	0.0
4	3.346948049533686E-4	5.9102146587404925E-5	5.557259026723004E-5	0.9638174276807613	0.0019884600730499394	0.028975841161028224	0.003917683427340411	8.51218116012135E-4
5	0.0	0.033885242379373355	0.0013942001878015685	0.022452888047915516	0.8220016131473221	0.11887734366766985	0.0013887125699176797	0.0
6	0.009882309305556097	0.016135916444955295	3.0311936077125554E-5	0.12061140748256517	0.04479758940871422	0.7424068235410584	0.05852322667420274	0.00761241520687117
7	1.072523115039229E-4	4.296919261540788E-6	2.316808331392476E-6	4.7529306777937814E-4	1.9466137163759476E-5	0.0019823302295823813	0.995420999016001	0.001988045510376661
8	2.2703877297379897E-4	0.0	0.0	0.0	0.0	0.0027714230042845097	0.020833172087260553	0.9761683661354811
