State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.68205	5.66775	7.02308	9.24089	10.93848	14.62115	18.13953	26.27152	38.82544	60.14110	66.75348	47.91574	37.33321	31.21369	28.61254	26.87389	23.50610	18.35858	12.75928	8.13199	5.22966
2	9.62928	12.94596	17.09522	21.17623	25.56435	28.20540	31.13991	33.60353	32.52527	20.78724	9.67705	10.16159	12.81630	18.51470	28.56710	41.10359	48.70602	46.35158	37.32285	25.91922	16.84954
3	4.74970	5.46034	7.07016	9.91997	13.65447	19.92697	28.13560	36.40225	45.04597	54.18279	66.57550	77.11185	78.38811	72.64496	58.97599	39.94095	23.55269	13.48769	8.00559	5.03975	3.65473
4	2.52862	2.37108	2.17270	1.94729	1.70008	1.41940	1.14700	0.94985	0.86079	0.82885	0.82916	0.84083	0.87062	0.91914	0.96797	1.02938	1.10432	1.22132	1.38899	1.60519	1.88465
5	3.97564	4.32704	4.48207	4.63365	4.66810	4.61642	4.51996	4.02042	2.93177	1.99471	1.49862	1.40560	1.35048	1.27124	1.34359	1.57441	1.99471	2.70784	3.47610	4.24435	4.82313
6	4.58853	4.72869	4.85287	4.87008	5.03730	5.18853	4.92049	4.05000	2.90410	2.20697	1.75205	1.53811	1.51844	1.61557	1.87500	2.32992	3.25082	4.61557	6.07992	7.18525	7.29836
7	0.58043	0.56722	0.55258	0.53598	0.51388	0.48908	0.46641	0.44648	0.43250	0.42755	0.42477	0.42493	0.42925	0.43516	0.44103	0.44965	0.45880	0.47282	0.49152	0.51264	0.53358
8	1.02347	1.01574	0.99303	0.97168	0.94851	0.91535	0.87038	0.83222	0.80905	0.79724	0.80678	0.81178	0.82586	0.84267	0.86947	0.89445	0.91263	0.93443	0.95442	0.97486	0.98395
